10 50 100 200 300 400 500 600 700 800 900 1000
55 58 58.4 60.3 58.7333333333 58.7 59.3 59.6 58.7428571429 60.5875 58.8 60.51
50 60.8 61.6 61.4 60.8 60.35 59.98 60.2833333333 60.1142857143 60.1375 59.3555555556 59.31
53 62 58.3 59.55 58.7333333333 58.75 58.9 59.8666666667 58.9285714286 60.6375 59.4777777778 59.29
60 61.4 60.7 59.9 61.8333333333 59.9 61.46 60.05 59.4428571429 60.65 59.6 60.52
65 61.4 62 58.15 59.1 58.85 60.98 59.9 59.7285714286 60.15 60.4555555556 59.28
48 61.6 59.1 62.85 61 61.275 60.02 59.9666666667 60.2285714286 60.3875 59.3666666667 58.5
58 57.6 57.2 60.75 59.5333333333 60.775 59.2 58.3166666667 60.5714285714 61.125 59.6333333333 59.48
40 57.4 60.3 58.1 59.3 60 60.2 60.2333333333 59.4857142857 60.4875 60.5333333333 60.72
52 56.8 59.2 60.45 59.4666666667 59.9 59.52 60.1666666667 59.4428571429 58.7125 60.9333333333 60.61
53 54.8 58.6 58.8 60.3666666667 61.275 59.52 60.3666666667 59.7857142857 59.275 59.6222222222 59.23
45 60.4 58.9 59.4 62.2333333333 59.95 59.42 60.4666666667 61.2571428571 59.1 59.8777777778 60.82
58 58.2 60.1 58.75 59.8666666667 59.475 58.28 60.15 60.6 60.65 58.9333333333 59.33
52 52.6 60.3 61.25 61.1 58.75 60.2 61.5833333333 59.3142857143 59.5 58.5777777778 60.01
65 61.6 59.4 59.65 59.8666666667 59.4 59.52 59.4666666667 60.4571428571 59.5625 60.9444444444 58.58
48 54.6 57.2 58.8 58.2 61.15 60.24 60.6333333333 59.3285714286 60.0125 59.9 60.38
60 59 59.1 60.4 61.1 60.525 59.1 59 60.4 60.25 58.7777777778 59.69
37 59.4 61.8 58.7 58.8666666667 60.55 60.76 59.8666666667 59.8857142857 59.25 60.5 59.25
49 58 54.7 59.65 58.4 60.95 59.92 60.4 60.8857142857 59.9625 59.6555555556 60.4
59 64.2 54.6 59 58.4 60.275 59.44 61.5666666667 61.7 59.975 58.9222222222 59.23
68 55.4 60.8 60.55 60.3666666667 60.35 58.88 60.0166666667 59.4285714286 59.6125 59.7222222222 59.43
66 59.6 57.8 59.2 58.5 58.075 59.1 58.5833333333 59.4428571429 59.3125 59.5111111111 59.29
59 55.8 59.6 57 59.8 59.6 61.22 59.4333333333 61.2285714286 59.5125 60.2333333333 60.25
44 57 59 59.55 59.7666666667 59.65 59.32 58.9666666667 59.5714285714 59.6875 59.9888888889 60.02
55 58.4 60.8 58.55 59.2666666667 58.4 59.28 60.05 59.3142857143 60.175 58.8111111111 59.69
53 56.6 59.5 60.05 59.9 60.95 59.56 59.8166666667 60.0285714286 60.8 60.5222222222 60.4
56 55.6 58.3 59 59.6333333333 60.475 58.52 58.95 59.3285714286 60.4625 59.7777777778 60.45
60 63.6 60.2 61.95 60.4666666667 60.2 59.24 60.1833333333 59.7285714286 60.8875 59.5666666667 59.49
64 54.8 60.4 59.05 60.8666666667 60.475 59.5 59.3333333333 59.8 60.425 60.0222222222 60.49
48 55.4 62.7 59.7 59.9 57.625 60.92 59.3166666667 59.6285714286 59.3375 59.9888888889 59.45
59 55.2 57 61.75 59.2 60.25 58.84 59.85 57.5285714286 59.625 60.0222222222 60.57
49 58.4 53.9 59.35 61.5333333333 59.975 59.72 59.45 59.2285714286 60.3375 58.5555555556 59.75
58 59.8 61.7 59.35 58.6 59.8 59.36 60.8666666667 60.1571428571 60.55 60.8222222222 59.73
40 56.8 59.6 59.3 60.6 59.5 61.3 60.2333333333 60.6571428571 60.275 59.3555555556 59.39
65 60.4 59.3 60 57.8 59.675 60.18 59.6 60.2571428571 60.9375 59.4222222222 59.87
55 52.6 56.5 60.1 57.3 59.975 60.14 61.7333333333 60.8142857143 59.95 59.1555555556 59.65
42 60 59.6 60.1 62.1333333333 60.425 59.96 58.75 58.4857142857 60.75 59.6222222222 60.51
51 58.4 61.3 59.4 57.4 58.45 58.28 59.9333333333 59.5142857143 60.775 59.9 59.95
55 57 57.9 59.1 61.4333333333 59.875 58.48 60.15 60.1 60.325 59.2222222222 59.56
43 57.8 58.2 61.65 60.8 60.075 61.06 60.3666666667 60.9142857143 58.9625 60.3111111111 59.52
47 56.2 56.6 58.85 61.0666666667 61.125 58.82 59.0833333333 59.5428571429 59.1875 60.0333333333 61.24
56 51.4 60.6 59.9 58.6666666667 60.4 59.84 61.3166666667 60.0714285714 60.325 60.2222222222 59.87
59 55.6 58.4 59.15 59.6333333333 59.425 59.66 60.3333333333 59.9 59.4375 60.8222222222 60.1
48 60.6 62.1 59.6 59.0333333333 59.775 60.06 59.3333333333 59.8714285714 59.175 60.0666666667 59.69
64 60.6 60 58.5 60.3333333333 59.175 60.18 61.3333333333 59.4714285714 60.9875 59.6222222222 60.76
58 57.2 58.5 58.55 60.3333333333 58.7 61.44 59.4666666667 59.3571428571 60.075 59.8111111111 59.87
59 56.6 58.9 60.25 59.4333333333 61.5 59.54 58.9166666667 59.1285714286 59.175 59.1333333333 60.06
47 60.6 60.7 59.55 58.0333333333 59.825 60.98 60.4 59.8714285714 58.7375 59.1888888889 60.29
55 59.4 59.8 60.5 60.7 58.9 61.66 59.5333333333 59.8428571429 60.35 60.1333333333 60.07
45 53.4 59.1 59.35 60.1333333333 61.45 61.24 60.2166666667 59.5428571429 59.85 58.9 60.43
