1,2,3,4,5,10,20,30
61.1,60.42,59.38,60.24,57.62,54.5,51.02,50.96
60.22,59.92,59.8,59.06,58.38,56.44,52.78,52.52
61,61,58.84,59.96,58.02,54.98,52.5,51.4
58.92,60.72,59.72,58.68,57.38,54.46,51.98,52.3
59.88,59.06,59.34,60.7,59.08,56.88,53.48,51.7
60.1,60.44,59.1,59.34,58.7,55.28,51.92,51.7
59.22,60.54,60.8,60.68,60.6,56.36,53.4,50.7
59.58,58.22,59.34,59.76,58.18,55.08,54.14,52.78
60.02,61.76,57.96,58.88,58.7,57.26,52.76,52.06
59.6,60.28,59.52,60.98,57.62,53.64,52.7,51.5
61.04,59.98,60.28,58.94,58.54,54.6,52.44,52.42
60.06,59.56,58.66,60.74,58.8,56.42,52.82,51.78
59.64,61.02,61.48,59.5,57.94,56,51.86,51.28
59.3,60.44,59.34,59.5,58.64,56.52,52.5,51.22
61.38,59.76,58.62,61.08,59.18,53.88,51.2,53.36
59.16,59.44,58.44,59.14,58.82,55.14,53.1,51.6
59.6,59.12,60.94,59.82,56.12,55.14,52.44,50.96
59.6,61.1,58.58,58.62,60.24,56.68,51.96,52.2
58.78,60.44,60.2,59.68,56.84,56.9,55.56,50.66
59.14,60.56,60.28,60.4,57.52,55.06,53.72,51.96
59.2,59.74,60.84,59.36,57.36,55.76,52.7,51.5
60.02,61.04,59.9,59.4,58.26,55.88,53.22,51.2
61.56,61.18,60.62,58.62,57.54,55.4,53.12,52.28
60.9,60.3,58.46,60.86,58.54,56.72,53.54,52.24
59.92,59.42,59.58,58.92,57.26,55.36,54.04,52.7
62.5,60.44,61.08,59.4,57.54,55.66,52.04,53.78
58.44,59.98,58.34,60.1,58.38,53.94,52.82,52.32
60.52,59.94,59.86,59.24,59.54,55.42,51.3,52.22
60.1,59.18,60.14,58.92,57.84,52.68,51.18,51.32
60.4,60.82,60.24,58.98,57.34,54.1,52.26,50.64
60.58,60.28,59.86,58.66,59.38,53.1,51.08,50.92
59.72,60.36,60.96,59.4,58.46,55.4,54,51.12
60.68,59.24,58.8,58.54,58.48,55.84,51.84,52.58
59.72,61.48,60.08,58.98,59.82,55.5,52.04,52.5
60.22,59.24,59.18,59.62,56.98,56.62,52.7,51.58
60.28,59.36,59.3,58.34,58.1,55.04,51.6,52.36
61.62,61.14,58.92,58.52,58.34,55.02,52.2,51.56
59.26,60.14,59.54,58.62,58.94,55.98,53.86,51.7
59.1,59.5,60.78,58.38,58.2,55.24,52.26,52.14
59.42,59.84,59.46,57.62,58.1,54.4,54,52.38
61.04,59.12,59.6,59.88,59.14,53.28,52.14,51.4
61.1,60.78,58.96,60,57.36,55.24,51.94,52.04
60.84,59.8,59.9,58.78,60.2,54.04,54.48,52.46
60.28,59.9,59.98,59.04,59.1,55.92,54.06,51.24
59.26,59.66,60.18,59.06,57.96,54.96,53.94,51.12
61.26,60.66,61.2,60.74,57.28,56.1,52.74,51.7
59.06,61.2,60.1,59.12,57.74,56.14,53.52,51.34
60.66,61.32,58.28,58.98,58.5,55.64,52.08,50.76
58.52,60.46,58.24,60.08,58.12,56.18,51.42,51.82
59.98,58.16,59.24,60.44,57.96,54.3,53.1,51.48
59.24,61.08,59.5,59.88,58.66,55.3,52.6,51.62
59.36,60.46,59.38,59.24,58.42,54.64,51.82,51.76
59.52,60.64,59.54,60.54,57.7,55.64,52.8,52.04
60.62,58.1,59.94,58.76,56.32,54.54,52.56,51.48
59.72,60.22,58.84,58.74,58.32,55.28,52.9,51.68
58.9,61.1,60.12,59.12,58.98,53.46,50.64,51.5
59.26,60.94,59.62,59.42,58.98,53.68,52.44,50.56
60.94,60.36,60.34,59.7,57.38,56.86,53.1,52.72
61.82,61.02,60.46,59.18,57.72,52,53.34,50.98
58.72,60.62,60.7,58.26,58.68,54.32,52.4,51.28
59.14,60.16,59.38,59.9,58.44,56.06,51.94,51.7
60.9,59.92,60.5,58.86,60.58,55.34,53.62,50.46
58.82,60.4,59.94,58.96,57.48,54.72,52.92,51.38
59.92,59.94,59.82,60.2,58.38,55.1,53.96,51.64
61,60.36,59.46,59.22,59.04,55.3,52.32,51.7
60.54,59.78,60.32,59.9,58.42,55.48,53.02,50.56
59.82,60.32,59.72,59.88,59.3,54.14,53.26,52.24
60.3,60.1,60.02,59.7,58.32,56.28,51.98,51.9
57.9,58.92,61.28,58.78,58.8,56.4,51.92,50.64
60.04,59.58,59.26,60.28,57.28,56.14,53.7,52.5
59.4,60.7,59.66,59.5,58.28,54.28,52.86,53.8
59.9,59.9,59.86,59.12,58.14,55.96,53.2,52.8
60.86,60.24,61.3,59.18,56.66,55.1,51.34,52.2
62.1,59.98,60.7,60.06,58.96,56.5,52.6,51.82
60.14,60.66,61.4,59.22,57.88,54.94,52.26,52.3
59.24,60.3,59.38,60.6,57.14,56.12,53.42,52.4
59.5,59.32,59.56,60.1,56.56,54.72,51.32,52.3
60.42,58.68,61.2,59.2,58.02,52.18,53.74,52.5
59.76,60.64,60.92,60.26,59.24,54.82,52.94,51.58
60.84,60.7,59.08,59.14,59.88,57.06,51.92,51.02
60.5,60.82,60.66,58.92,55.98,55.24,53,52.06
63.5,60.72,59.18,58.72,59.16,54.82,51,52.66
60.28,61.04,61.78,59.02,58.72,52.64,52.72,51.96
59.32,60.06,60.12,60.22,59.3,55.2,54.08,52.68
62.28,59.5,58.84,59.34,58.62,54.88,53.56,52.76
60.48,60.22,60.6,59.74,59.24,55.04,52.78,51.7
57.4,61.18,60.54,59.62,57.1,57.86,50.72,51.98
59,59.98,60.12,58.14,59.1,54.38,52.44,51.18
59.9,57.92,59.34,59.26,57.7,54.56,53.56,50.54
61.42,60.5,59.86,59.24,59.56,55.1,52.28,52.8
61.24,60.42,60.36,60.96,56.76,54.92,51.68,51.6
59.58,60.4,60.44,59.38,57.92,55.86,53.1,52.6
60,56.76,59.5,59.14,59.62,54.34,53.32,52.34
59.16,59.7,59.68,60.68,58.48,56.66,53.76,52.98
59.74,58.66,60.32,59.44,59.24,56.1,52.16,52.34
58.46,59.48,59.54,58.96,57.44,54.34,53,51.04
60.32,60.48,61.56,60.06,59.86,55.18,52.4,51.32
59.82,60.54,58.8,60.22,58.02,54.84,52.5,52.36
59.06,60.64,60.9,58.48,58.46,54.98,51.94,51.68
58.58,58.92,59.7,58.28,57.3,55.72,51.76,50.96
